epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2726.51,0.94325,1.18671,1.05186,0.85773,0.79427,0.8331,0.58707,1.19586,1.77397,1.29079,0.0076,0.0076,0.0076
82,2759.75,0.94346,1.1837,1.05211,0.89957,0.772,0.84087,0.59332,1.20348,1.78362,1.28273,0.00757,0.00757,0.00757
83,2793.7,0.93802,1.17535,1.05582,0.85431,0.78971,0.83917,0.5965,1.18629,1.7684,1.27869,0.00754,0.00754,0.00754
84,2827.58,0.93014,1.16397,1.05143,0.88249,0.78897,0.84232,0.59163,1.18994,1.74019,1.28576,0.00751,0.00751,0.00751
85,2861.37,0.92627,1.15394,1.04192,0.88324,0.77814,0.83783,0.58659,1.19688,1.80203,1.29595,0.00748,0.00748,0.00748
86,2894.8,0.91761,1.14389,1.03733,0.89856,0.77962,0.84257,0.59255,1.18951,1.75475,1.29896,0.00745,0.00745,0.00745
87,2928.65,0.92058,1.13692,1.04714,0.85737,0.79109,0.84269,0.59255,1.19974,1.76761,1.31224,0.00742,0.00742,0.00742
88,2962.19,0.91856,1.15234,1.04842,0.87291,0.78261,0.83766,0.59412,1.17415,1.71762,1.28558,0.00739,0.00739,0.00739
89,2996.04,0.92307,1.14062,1.042,0.86586,0.78716,0.82912,0.59636,1.1523,1.73072,1.26022,0.00736,0.00736,0.00736
90,3029.44,0.90812,1.13055,1.03415,0.89316,0.79003,0.83806,0.59912,1.16719,1.73809,1.27552,0.00733,0.00733,0.00733
91,3062.95,0.90553,1.12347,1.03593,0.87703,0.77898,0.83732,0.59784,1.1862,1.76321,1.30452,0.0073,0.0073,0.0073
92,3096.93,0.90928,1.13374,1.03138,0.86355,0.79639,0.83892,0.59151,1.17237,1.73206,1.28255,0.00727,0.00727,0.00727
93,3130.46,0.90076,1.11286,1.02842,0.89728,0.79109,0.84514,0.60183,1.1634,1.68584,1.27489,0.00724,0.00724,0.00724
94,3164.09,0.90253,1.10619,1.03537,0.87421,0.79109,0.83984,0.59583,1.18573,1.71211,1.29679,0.00721,0.00721,0.00721
95,3197.64,0.9148,1.1318,1.04186,0.86611,0.79427,0.83747,0.59015,1.18528,1.71458,1.2877,0.00718,0.00718,0.00718
96,3231.25,0.90132,1.11033,1.03328,0.88297,0.78409,0.83727,0.59475,1.15548,1.70422,1.26499,0.00715,0.00715,0.00715
97,3264.74,0.89651,1.10689,1.03073,0.86364,0.79925,0.84559,0.59961,1.15643,1.67918,1.25835,0.00712,0.00712,0.00712
98,3298.11,0.88364,1.10575,1.02418,0.87801,0.78261,0.83952,0.60276,1.16088,1.71958,1.2691,0.00709,0.00709,0.00709
99,3331.77,0.88791,1.10387,1.02847,0.87782,0.78685,0.83654,0.59947,1.16844,1.72031,1.28427,0.00706,0.00706,0.00706
100,3365.3,0.87418,1.07939,1.01967,0.88458,0.78049,0.83969,0.60701,1.13189,1.70755,1.27241,0.00703,0.00703,0.00703
101,3399,0.88495,1.08903,1.02511,0.87933,0.79591,0.84714,0.60817,1.15119,1.67205,1.28854,0.007,0.007,0.007
102,3432.29,0.87445,1.08214,1.02236,0.88674,0.78049,0.839,0.59699,1.16182,1.72833,1.29324,0.00697,0.00697,0.00697
103,3465.7,0.87707,1.09301,1.02328,0.88335,0.78473,0.84416,0.60799,1.14725,1.67104,1.28898,0.00694,0.00694,0.00694
104,3499.33,0.87315,1.0797,1.02614,0.87994,0.78473,0.84138,0.60972,1.16555,1.71133,1.30625,0.00691,0.00691,0.00691
105,3532.77,0.87896,1.09931,1.0278,0.87655,0.78367,0.84721,0.60544,1.16815,1.70441,1.30065,0.00688,0.00688,0.00688
106,3566.3,0.87071,1.07328,1.02046,0.87616,0.78473,0.84379,0.60584,1.14188,1.71377,1.28055,0.00685,0.00685,0.00685
107,3600.15,0.87318,1.05963,1.01805,0.88986,0.7797,0.84034,0.60595,1.15078,1.72487,1.29868,0.00682,0.00682,0.00682
108,3634.04,0.86642,1.06326,1.01964,0.86239,0.78416,0.83126,0.6041,1.14054,1.77213,1.28781,0.00679,0.00679,0.00679
109,3667.61,0.85687,1.06825,1.01957,0.87138,0.79025,0.8411,0.61074,1.13572,1.78257,1.2876,0.00676,0.00676,0.00676
110,3701.14,0.85966,1.06398,1.015,0.89216,0.77203,0.84151,0.61057,1.13648,1.7645,1.28562,0.00673,0.00673,0.00673
111,3735.03,0.85125,1.04525,1.01387,0.88394,0.77625,0.8339,0.6078,1.15687,1.72698,1.29829,0.0067,0.0067,0.0067
112,3768.74,0.86054,1.06436,1.02039,0.8889,0.7806,0.83263,0.61101,1.14128,1.72696,1.28188,0.00667,0.00667,0.00667
113,3802.31,0.86407,1.0548,1.02399,0.88517,0.79293,0.8399,0.61093,1.13086,1.71733,1.28176,0.00664,0.00664,0.00664
114,3836.09,0.86073,1.06776,1.01425,0.87947,0.78791,0.83708,0.61175,1.14001,1.73991,1.28321,0.00661,0.00661,0.00661
115,3869.97,0.84737,1.04375,1.00464,0.88266,0.7897,0.83964,0.61387,1.13105,1.73643,1.26675,0.00658,0.00658,0.00658
116,3903.91,0.84155,1.04244,1.00761,0.88557,0.78155,0.8334,0.61375,1.12076,1.6985,1.26282,0.00655,0.00655,0.00655
117,3937.27,0.8479,1.05054,1.00514,0.8672,0.78944,0.83243,0.61166,1.11003,1.69031,1.26902,0.00652,0.00652,0.00652
118,3970.8,0.85229,1.04474,1.01117,0.874,0.78705,0.83481,0.61165,1.12186,1.66285,1.27214,0.00649,0.00649,0.00649
119,4004.53,0.84087,1.02767,1.0114,0.88001,0.78049,0.83592,0.61231,1.12672,1.70129,1.28923,0.00646,0.00646,0.00646
120,4037.92,0.83428,1.03069,1.00523,0.8947,0.77485,0.83963,0.61356,1.12217,1.69137,1.28378,0.00643,0.00643,0.00643
121,4071.49,0.83759,1.02097,1.00567,0.8982,0.78473,0.8441,0.6177,1.10502,1.71019,1.26388,0.0064,0.0064,0.0064
122,4105.34,0.84684,1.04464,1.00622,0.89069,0.79533,0.84528,0.61608,1.1049,1.68008,1.26473,0.00637,0.00637,0.00637
123,4139.11,0.83171,1.02074,1.00174,0.88357,0.79215,0.84713,0.62207,1.10142,1.6623,1.26385,0.00634,0.00634,0.00634
124,4172.68,0.83144,1.03227,1.0075,0.88637,0.78587,0.84159,0.61626,1.10961,1.67341,1.26819,0.00631,0.00631,0.00631
125,4206.34,0.83615,1.02085,1.00431,0.88141,0.7882,0.83925,0.61699,1.11338,1.679,1.26711,0.00628,0.00628,0.00628
126,4239.96,0.82874,1.01345,1.0007,0.88648,0.77841,0.83924,0.61824,1.10841,1.69297,1.27673,0.00625,0.00625,0.00625
127,4273.64,0.81916,1.01077,0.99624,0.87073,0.79288,0.83929,0.62065,1.10588,1.68023,1.2778,0.00622,0.00622,0.00622
128,4307.13,0.83309,1.0217,1.00511,0.87805,0.78897,0.83817,0.61704,1.10587,1.667,1.27768,0.00619,0.00619,0.00619
129,4340.53,0.82561,1.01216,1.0007,0.88873,0.7792,0.84511,0.62159,1.09758,1.67766,1.26488,0.00616,0.00616,0.00616
130,4374.18,0.81836,1.00625,0.99697,0.89765,0.77837,0.84228,0.6197,1.09337,1.6784,1.25608,0.00613,0.00613,0.00613
131,4407.73,0.80858,0.99175,0.98989,0.88096,0.79266,0.84466,0.6203,1.09115,1.67131,1.25071,0.0061,0.0061,0.0061
132,4440.97,0.82198,1.00053,0.99911,0.8807,0.78283,0.84773,0.6205,1.09947,1.64843,1.25973,0.00607,0.00607,0.00607
133,4474.61,0.81446,1.00364,0.99545,0.86837,0.79055,0.84146,0.61499,1.10863,1.70658,1.26489,0.00604,0.00604,0.00604
134,4508.06,0.81283,0.99196,0.99648,0.89428,0.76882,0.84008,0.61588,1.11015,1.73826,1.27214,0.00601,0.00601,0.00601
135,4541.75,0.80904,1.00015,0.99275,0.88574,0.78367,0.84303,0.61881,1.0979,1.72585,1.26195,0.00598,0.00598,0.00598
136,4575.16,0.80527,0.98738,0.99058,0.89031,0.77731,0.84614,0.61999,1.09034,1.72975,1.25941,0.00595,0.00595,0.00595
137,4608.74,0.80135,0.96675,0.98431,0.88637,0.77413,0.8492,0.62574,1.08808,1.70172,1.2602,0.00592,0.00592,0.00592
138,4642.47,0.80956,0.99761,0.99486,0.89512,0.76927,0.84798,0.62781,1.07495,1.68412,1.26031,0.00589,0.00589,0.00589
139,4676.43,0.80894,0.99452,0.99166,0.89157,0.76988,0.84325,0.62488,1.08081,1.68716,1.26428,0.00586,0.00586,0.00586
140,4709.84,0.7968,0.96538,0.98867,0.89467,0.77462,0.84479,0.62273,1.09094,1.69223,1.2638,0.00583,0.00583,0.00583
141,4743.74,0.80256,0.98202,0.98863,0.88363,0.78685,0.84342,0.6252,1.09185,1.66526,1.26061,0.0058,0.0058,0.0058
142,4777.22,0.79849,0.98621,0.98632,0.89547,0.77519,0.83772,0.62434,1.10332,1.67569,1.27096,0.00577,0.00577,0.00577
143,4810.43,0.79093,0.96793,0.98629,0.89283,0.76776,0.84141,0.62596,1.10769,1.67981,1.27769,0.00574,0.00574,0.00574
144,4843.49,0.79134,0.9552,0.98729,0.87222,0.78367,0.83997,0.62625,1.09856,1.68689,1.27332,0.00571,0.00571,0.00571
145,4876.73,0.80027,0.98662,0.98839,0.88028,0.78756,0.84683,0.63136,1.08294,1.69972,1.26264,0.00568,0.00568,0.00568
146,4910.56,0.79125,0.97679,0.98752,0.87051,0.79427,0.84102,0.62949,1.0863,1.70388,1.27032,0.00565,0.00565,0.00565
147,4944.15,0.78308,0.9588,0.98385,0.88761,0.79003,0.84916,0.63229,1.08221,1.7113,1.26631,0.00562,0.00562,0.00562
148,4977.67,0.77689,0.94803,0.97827,0.86799,0.79427,0.84978,0.63185,1.08697,1.67905,1.27036,0.00559,0.00559,0.00559
149,5011.2,0.78185,0.95486,0.98672,0.87357,0.79131,0.84635,0.63078,1.08682,1.68387,1.27431,0.00556,0.00556,0.00556
150,5044.9,0.77928,0.94317,0.98655,0.88888,0.78887,0.84315,0.6311,1.0909,1.68134,1.28053,0.00553,0.00553,0.00553
151,5078.43,0.78033,0.9555,0.98093,0.88853,0.79109,0.84313,0.62882,1.08533,1.68292,1.27647,0.0055,0.0055,0.0055
152,5111.57,0.7798,0.94247,0.98402,0.88349,0.78261,0.843,0.62919,1.08312,1.69186,1.2807,0.00547,0.00547,0.00547
153,5144.77,0.77287,0.94285,0.98125,0.8984,0.76895,0.84608,0.63312,1.07892,1.68405,1.27973,0.00544,0.00544,0.00544
154,5178.46,0.76916,0.94533,0.9768,0.88078,0.78367,0.84196,0.63152,1.08228,1.67948,1.27502,0.00541,0.00541,0.00541
